Filename,Contour,Center X,Center Y,Radius,Diameter,mean_intensity,Bounding Box X Center,Bounding Box Y Center,Bounding Box Width,Bounding Box Height
37_phatquang.png,4,491,806,84.53065490722656,169.06130981445312,21.772727272727273,0.2562027295430501,0.7466559516059028,0.08805276552836103,0.1565382498281973
37_phatquang.png,5,941,667,80.34909057617188,160.69818115234375,20.900568181818183,0.4905029296875,0.6179540563512731,0.083696969350179,0.14879461217809598
37_phatquang.png,6,1547,598,47.02813720703125,94.0562744140625,8.247159090909092,0.8057389577229818,0.553767564561632,0.048987642923990826,0.0870891429759838
37_phatquang.png,7,1131,406,9.999999747378752e-05,0.00019999999494757503,0.08806818181818182,0.5890625,0.37592592592592594,1.0416666407220276e-07,1.8518518052346167e-07
37_phatquang.png,8,1130,384,27.04398536682129,54.08797073364258,3.8863636363636362,0.5890484491984049,0.35559616088867185,0.028170818090438865,0.05008145438300238
37_phatquang.png,9,272,250,0.5001000165939331,1.0002000331878662,0.08806818181818182,0.14166666666666666,0.23194444444444445,0.0005209375172853525,0.0009261111418406298
37_phatquang.png,10,646,244,0.7072067856788635,1.414413571357727,0.09090909090909091,0.33671875,0.2263888888888889,0.0007366737350821273,0.0013096421957016213
37_phatquang.png,11,273,217,1.1181340217590332,2.2362680435180664,0.17613636363636365,0.14244791666666667,0.20092592592592592,0.0011647229393323133,0.00207061855881302
37_phatquang.png,12,255,228,24.261272430419922,48.522544860839844,2.9204545454545454,0.13295138676961263,0.2111111111111111,0.025272158781687426,0.04492828227855539
37_phatquang.png,13,1018,251,110.84695434570312,221.69390869140625,33.35511363636363,0.5305985768636068,0.2329519342493128,0.11546557744344077,0.20527213767722802
37_phatquang.png,14,665,191,57.699729919433594,115.39945983886719,9.292613636363637,0.3466289202372233,0.17696653295446324,0.060103885332743356,0.10685135170265479
37_phatquang.png,15,646,142,4.527792930603027,9.055585861206055,0.18181818181818182,0.33671874999999996,0.13194444444444445,0.004716450969378172,0.008384801723338942
37_phatquang.png,16,116,80,0.7072067856788635,1.414413571357727,0.18233618233618235,0.06067708333333333,0.07453703703703704,0.0007366737350821551,0.0013096421957015936
37_phatquang.png,17,124,56,1.1181340217590332,2.2362680435180664,0.09116809116809117,0.06484375,0.05185185185185186,0.0011647229393323272,0.002070618558813027
37_phatquang.png,18,146,83,31.872644424438477,63.74528884887695,5.062678062678063,0.07613515059153239,0.07761158413357205,0.033200671275456756,0.05902341560081199
57_phatquang.png,0,921,903,44.15901184082031,88.31802368164062,7.505681818181818,0.4797995885213216,0.8366334703233507,0.04599897066752112,0.08177594785337094
57_phatquang.png,1,1482,926,86.54080963134766,173.0816192626953,21.75,0.7723885218302409,0.8574144151475694,0.09014667669932042,0.16026075857656963
57_phatquang.png,2,1575,770,50.108619689941406,100.21723937988281,9.119318181818182,0.8207981745402018,0.713739917896412,0.05219647884368894,0.09279374016655817
57_phatquang.png,3,784,768,94.09608459472656,188.19216918945312,35.62215909090909,0.4086161931355794,0.7119585955584491,0.0980167547861735,0.1742520085087529
57_phatquang.png,4,1010,670,3.1623775959014893,6.3247551918029785,0.26420454545454547,0.5260416666666666,0.6203703703703703,0.003294143329064081,0.005856254807224959
57_phatquang.png,5,983,661,24.904613494873047,49.809226989746094,3.9545454545454546,0.512469482421875,0.6124160766601563,0.02594230572382611,0.04611965462013534
57_phatquang.png,6,1386,653,84.32079315185547,168.64158630371094,26.068181818181817,0.7222323735555013,0.604922937463831,0.08783415953318285,0.15614961694788054
57_phatquang.png,7,609,526,0.5001000165939331,1.0002000331878662,0.17613636363636365,0.31744791666666666,0.48703703703703705,0.0005209375172853248,0.0009261111418406021
57_phatquang.png,8,601,524,4.609872341156006,9.219744682312012,0.7954545454545454,0.31328124999999996,0.48518518518518516,0.004801950355370843,0.00853680063177037
